business_code,cust_number,name_customer,due_in_date,total_open_amount,isOpen,due_day,due_month,document_create_date_day,document_create_date_month,clear_date_day,clear_date_month,due_week_day,clear_week_day,delay_day,delay_month,payment_term_new
1,908,4065,2020-02-10,54273.28,0,10,2,25,1,2.0,11.0,0,0.0,266.0,9.0,234
1,1072,385,2019-08-11,79656.6,0,11,8,22,7,8.0,8.0,6,3.0,-3.0,0.0,201
1,977,2537,2019-09-29,2253.86,0,29,9,14,9,30.0,12.0,6,0.0,92.0,3.0,98
0,435,3689,2020-04-10,2474.7749999999996,1,10,4,30,3,,,4,,,,310
1,908,4067,2019-11-28,33133.29,0,28,11,13,11,25.0,11.0,3,0.0,-3.0,0.0,234
0,447,3805,2019-10-04,16669.38,0,4,10,20,9,12.0,4.0,4,4.0,-175.0,-6.0,310
1,908,4068,2019-11-16,7358.49,0,16,11,31,10,11.0,12.0,5,2.0,25.0,1.0,234
1,852,3784,2020-04-03,11173.02,1,3,4,18,3,,,4,,,,98
1,908,4065,2019-06-22,15995.04,0,22,6,5,6,18.0,6.0,5,1.0,-4.0,0.0,234
1,891,583,2019-03-07,28.63,0,7,3,19,2,3.0,6.0,3,0.0,88.0,3.0,156
1,633,125,2020-03-26,3525.59,1,26,3,6,3,,,3,,,,98
1,848,486,2019-01-17,103147.37,0,17,1,2,1,22.0,1.0,3,1.0,5.0,0.0,98
1,549,3686,2019-04-30,16381.45,0,30,4,15,4,5.0,6.0,1,2.0,36.0,2.0,98
1,791,1517,2019-11-01,19581.57,0,1,11,17,10,11.0,1.0,4,4.0,-294.0,-10.0,98
1,836,2788,2020-04-30,121105.65,1,30,4,15,4,,,3,,,,98
1,600,993,2020-04-26,3726.06,1,26,4,23,4,,,6,,,,242
1,986,848,2019-11-09,5181.51,0,9,11,25,10,11.0,12.0,5,2.0,32.0,1.0,110
1,1031,96,2019-12-17,19082.14,0,17,12,2,12,17.0,12.0,1,1.0,0.0,0.0,98
1,908,4071,2019-11-30,12819.5,0,30,11,14,11,26.0,11.0,5,1.0,-4.0,0.0,234
1,908,4070,2020-02-08,53349.54,0,8,2,24,1,2.0,5.0,5,5.0,84.0,3.0,234
5,307,3754,2020-02-10,5683.5,0,10,2,7,1,2.0,11.0,0,0.0,266.0,9.0,430
1,951,1258,2019-09-05,11845.19,0,5,9,22,8,9.0,4.0,3,1.0,-149.0,-5.0,98
1,852,3775,2020-04-05,5893.01,1,5,4,20,3,,,6,,,,98
1,25,3068,2019-08-01,20079.58,0,1,8,17,7,30.0,7.0,3,1.0,-2.0,-1.0,98
1,908,4064,2020-02-08,11307.78,0,8,2,23,1,2.0,4.0,5,3.0,54.0,2.0,234
0,469,4054,2020-03-16,69624.2025,1,16,3,6,3,,,0,,,,310
1,908,4067,2019-01-29,36188.11,0,29,1,14,1,30.0,1.0,1,2.0,1.0,0.0,234
1,595,756,2020-03-17,11380.83,1,17,3,2,3,,,1,,,,98
1,908,4067,2019-05-08,412.09,0,8,5,23,4,5.0,9.0,2,3.0,120.0,4.0,234
0,469,4052,2019-04-26,36309.96,0,26,4,16,4,5.0,6.0,4,2.0,40.0,2.0,310
1,867,90,2019-05-03,6023.53,0,3,5,18,4,5.0,3.0,4,1.0,-59.0,-2.0,98
1,791,1522,2019-10-07,17307.51,0,7,10,21,9,10.0,7.0,0,2.0,-89.0,-3.0,98
1,908,4068,2019-09-25,341.14,0,25,9,9,9,23.0,9.0,2,0.0,-2.0,0.0,234
1,806,433,2019-06-30,365.87,0,30,6,25,6,7.0,1.0,6,0.0,-174.0,-5.0,98
1,1095,2119,2019-08-09,32751.88,0,9,8,1,7,30.0,8.0,4,4.0,21.0,0.0,212
1,986,843,2020-04-22,3863.93,1,22,4,1,4,,,2,,,,110
1,742,3940,2019-02-12,39221.31,0,12,2,21,1,13.0,2.0,1,2.0,1.0,0.0,201
1,986,849,2020-05-08,74453.01,1,8,5,20,4,,,4,,,,110
1,908,4065,2019-07-02,46961.92,0,2,7,15,6,27.0,6.0,1,3.0,-5.0,-1.0,234
1,541,3160,2019-07-19,51641.33,0,19,7,4,6,19.0,7.0,4,4.0,0.0,0.0,140
1,908,4065,2019-11-23,52187.72,0,23,11,8,11,19.0,11.0,5,1.0,-4.0,0.0,234
1,908,4063,2020-01-19,4953.83,0,19,1,4,1,21.0,1.0,6,1.0,2.0,0.0,234
